2.00325e-005;0.00381413;-0.0153812;
5.12155e-006;0.00981613;-0.366717;
-1.79865e-005;0.0222803;-1.51355;
-3.08229e-005;0.0319669;-2.95468;
-3.87037e-005;0.0394774;-4.46662;
-3.85195e-005;0.0405114;-5.07106;
-3.04665e-005;0.0320244;-3.29254;
-3.58581e-005;0.038359;-4.7702;
-2.77501e-005;0.0263281;-0.877622;
-1.40231e-005;0.000124075;10.5858;
2.03104e-006;-0.0342324;27.4326;
2.0443e-006;-0.0362569;29.9267;
1.60351e-006;-0.0362585;30.8793;
-4.07741e-006;-0.0201247;20.4442;
-5.0653e-006;-0.0167125;17.671;
-9.78663e-006;0.0015817;0.864392;
-1.11104e-005;0.0100084;-10.8415;
-1.08152e-005;0.00847298;-8.93096;
-6.27366e-006;-0.0145304;19.0281;
-1.35531e-006;-0.042952;58.6988;
3.65451e-007;-0.0529207;72.568;
1.98095e-006;-0.0644702;92.5787;
1.87504e-006;-0.0637941;91.5516;
-1.66836e-006;-0.0387917;49.1705;
-3.84268e-006;-0.0199605;9.34789;
-3.04111e-006;-0.0261056;20.4862;
-2.78206e-006;-0.0268137;17.8939;
-4.56757e-006;-0.0104796;-18.1715;
-3.9337e-006;-0.017119;-1.12628;
-1.88215e-006;-0.0401895;62.577;
-1.96523e-007;-0.0603059;121.597;
9.94567e-007;-0.0755557;169.674;
4.83066e-007;-0.0679368;141.826;
-2.26678e-006;-0.0318163;26.0513;
-3.00861e-006;-0.0210952;-12.0679;
-7.03967e-006;0.0420305;-256.099;
-8.38238e-006;0.0680907;-378.835;
-9.03447e-006;0.0794627;-427.942;
-5.93544e-006;0.0242325;-184.959;
